name,n_data_list
CBS_k3_n100_m418_b90_828.cnf.xz, 1
or-50-20-8-UC-40.cnf.bz2, 0
CBS_k3_n100_m441_b90_257.cnf.xz, 1
or-70-20-9-UC-40.cnf.b+e.gz, 0
CBS_k3_n100_m449_b70_136.cnf.xz, 1
CBS_k3_n100_m441_b70_972.cnf.xz, 1
CBS_k3_n100_m435_b50_872.cnf.xz, 1
CBS_k3_n100_m403_b70_144.cnf.xz, 1
CBS_k3_n100_m411_b30_322.cnf.xz, 1
CBS_k3_n100_m403_b90_897.cnf.xz, 1
CBS_k3_n100_m441_b90_976.cnf.xz, 1
CBS_k3_n100_m429_b10_565.cnf.xz, 1
or-70-20-10-UC-30.cnf.bz2, 0
CBS_k3_n100_m435_b50_762.cnf.xz, 1
CBS_k3_n100_m403_b50_867.cnf.xz, 1
CBS_k3_n100_m429_b30_414.cnf.xz, 1
CBS_k3_n100_m423_b50_426.cnf.xz, 1
CBS_k3_n100_m449_b50_539.cnf.xz, 1
CBS_k3_n100_m429_b90_78.cnf.xz, 1
CBS_k3_n100_m449_b10_287.cnf.xz, 1
CBS_k3_n100_m435_b90_25.cnf.xz, 1
CBS_k3_n100_m441_b30_106.cnf.xz, 1
CBS_k3_n100_m429_b30_814.cnf.xz, 1
CBS_k3_n100_m403_b30_805.cnf.xz, 1
CBS_k3_n100_m429_b10_692.cnf.xz, 1
CBS_k3_n100_m418_b90_442.cnf.xz, 1
CBS_k3_n100_m429_b90_768.cnf.xz, 1
CBS_k3_n100_m441_b70_804.cnf.xz, 1
CBS_k3_n100_m418_b50_310.cnf.xz, 1
CBS_k3_n100_m435_b50_548.cnf.xz, 1
CBS_k3_n100_m418_b70_942.cnf.xz, 1
CBS_k3_n100_m435_b70_254.cnf.xz, 1
CBS_k3_n100_m429_b30_142.cnf.xz, 1
CBS_k3_n100_m449_b90_960.cnf.xz, 1
CBS_k3_n100_m423_b10_227.cnf.xz, 1
CBS_k3_n100_m435_b30_655.cnf.xz, 1
CBS_k3_n100_m418_b50_453.cnf.xz, 1
CBS_k3_n100_m441_b10_279.cnf.xz, 1
CBS_k3_n100_m418_b50_496.cnf.xz, 1
