cnf_name,solver,result,solving_time_sec,inference_time_sec,has_backbone,n_vars,n_clauses
14f1c01bccf339af89292c348e160192-fla-komb-340-2.cnf.xz,Default,"SATISFIABLE,1",0.4466431140899658,,,340,1770
1b64dd3e036d6b191848635710662004-fla-komb-200-1.cnf.xz,Default,"SATISFIABLE,0",0.03004598617553711,,,200,1041
3_104_426.cnf.xz,Default,"SATISFIABLE,0",0.0033178329467773438,,,104,426
3_107_454.cnf.xz,Default,"SATISFIABLE,0",0.004685163497924805,,,107,454
3_109_425.cnf.xz,Default,"SATISFIABLE,0",0.002149820327758789,,,109,425
3_111_455.cnf.xz,Default,"SATISFIABLE,0",0.0028159618377685547,,,111,455
3_127_539.cnf.xz,Default,"SATISFIABLE,0",0.010255098342895508,,,127,539
3_132_574.cnf.xz,Default,"SATISFIABLE,0",0.01577901840209961,,,132,574
3_133_545.cnf.xz,Default,"SATISFIABLE,0",0.018841981887817383,,,133,545
3_134_522.cnf.xz,Default,"SATISFIABLE,0",0.0037178993225097656,,,134,522
3_141_585.cnf.xz,Default,"SATISFIABLE,0",0.0037598609924316406,,,141,585
3_143_550.cnf.xz,Default,"SATISFIABLE,0",0.00399327278137207,,,143,550
3_144_561.cnf.xz,Default,"SATISFIABLE,0",0.008519887924194336,,,144,561
3_151_626.cnf.xz,Default,"SATISFIABLE,0",0.01574993133544922,,,151,626
3_154_623.cnf.xz,Default,"SATISFIABLE,0",0.009451866149902344,,,154,623
3_167_693.cnf.xz,Default,"SATISFIABLE,0",0.01671910285949707,,,167,693
3_170_679.cnf.xz,Default,"SATISFIABLE,0",0.01807880401611328,,,170,679
3_174_687.cnf.xz,Default,"SATISFIABLE,0",0.00584721565246582,,,174,687
3_180_809.cnf.xz,Default,"SATISFIABLE,0",0.010097980499267578,,,180,809
3_188_780.cnf.xz,Default,"SATISFIABLE,0",0.018631935119628906,,,188,780
3_193_781.cnf.xz,Default,"SATISFIABLE,0",0.051664113998413086,,,193,781
3_199_805.cnf.xz,Default,"SATISFIABLE,0",0.007905960083007812,,,199,805
3_203_862.cnf.xz,Default,"SATISFIABLE,0",0.017782926559448242,,,203,862
3_203_893.cnf.xz,Default,"SATISFIABLE,0",0.01841902732849121,,,203,893
3_205_860.cnf.xz,Default,"SATISFIABLE,0",0.052011966705322266,,,205,860
3_206_865.cnf.xz,Default,"SATISFIABLE,0",0.024691104888916016,,,206,865
3_207_890.cnf.xz,Default,"SATISFIABLE,0",0.04167294502258301,,,207,890
