cnf_name,solver,result,solving_time_sec,inference_time_sec,has_backbone,n_vars,n_clauses
3_105_398.cnf.xz,Default,"SATISFIABLE,0",0.0014340877532958984,,,105,398
3_112_419.cnf.xz,Default,"SATISFIABLE,0",0.0008273124694824219,,,112,419
3_112_442.cnf.xz,Default,"SATISFIABLE,0",0.001991748809814453,,,112,442
3_117_432.cnf.xz,Default,"SATISFIABLE,0",0.0023348331451416016,,,117,432
3_118_471.cnf.xz,Default,"SATISFIABLE,0",0.0013070106506347656,,,118,471
3_120_449.cnf.xz,Default,"SATISFIABLE,0",0.0025925636291503906,,,120,449
3_120_479.cnf.xz,Default,"SATISFIABLE,0",0.002157449722290039,,,120,479
3_121_483.cnf.xz,Default,"SATISFIABLE,0",0.003454923629760742,,,121,483
3_134_535.cnf.xz,Default,"SATISFIABLE,0",0.001424551010131836,,,134,535
3_137_561.cnf.xz,Default,"SATISFIABLE,0",0.006231069564819336,,,137,561
3_144_590.cnf.xz,Default,"SATISFIABLE,0",0.003173828125,,,144,590
3_156_670.cnf.xz,Default,"SATISFIABLE,0",0.022530317306518555,,,156,670
3_159_667.cnf.xz,Default,"SATISFIABLE,0",0.025672197341918945,,,159,667
3_165_709.cnf.xz,Default,"SATISFIABLE,0",0.01479482650756836,,,165,709
3_170_696.cnf.xz,Default,"SATISFIABLE,0",0.026457786560058594,,,170,696
3_173_726.cnf.xz,Default,"SATISFIABLE,0",0.016978740692138672,,,173,726
3_175_699.cnf.xz,Default,"SATISFIABLE,0",0.021044492721557617,,,175,699
3_178_774.cnf.xz,Default,"SATISFIABLE,0",0.019081830978393555,,,178,774
3_193_820.cnf.xz,Default,"SATISFIABLE,0",0.014419078826904297,,,193,820
3_206_865.cnf.xz,Default,"SATISFIABLE,0",0.026465177536010742,,,206,865
3_224_940.cnf.xz,Default,"SATISFIABLE,0",0.07524299621582031,,,224,940
3_232_951.cnf.xz,Default,"SATISFIABLE,0",0.09012532234191895,,,232,951
3_243_1044.cnf.xz,Default,"SATISFIABLE,0",0.5981287956237793,,,243,1044
3_258_1135.cnf.xz,Default,"SATISFIABLE,1",0.14497160911560059,,,258,1135
3_290_1188.cnf.xz,Default,"SATISFIABLE,0",0.17745757102966309,,,290,1188
3_296_1302.cnf.xz,Default,"SATISFIABLE,0",0.3868672847747803,,,296,1302
3be058c040a7ae8d5648e791025dd792-fla-komb-260-5.cnf.xz,Default,"SATISFIABLE,1",0.11684894561767578,,,260,1353
4_101_964.cnf.xz,Default,"SATISFIABLE,0",0.26847004890441895,,,101,964
4_103_957.cnf.xz,Default,"SATISFIABLE,0",0.2743220329284668,,,103,957
4_106_1012.cnf.xz,Default,"SATISFIABLE,3",3.6094019412994385,,,106,1012
4_106_1033.cnf.xz,Default,"SATISFIABLE,0",0.380460262298584,,,106,1033
4_110_1078.cnf.xz,Default,"SATISFIABLE,0",0.27970027923583984,,,110,1078
4_119_1148.cnf.xz,Default,"SATISFIABLE,13",13.505944013595581,,,119,1148
4_50_460.cnf.xz,Default,"SATISFIABLE,0",0.013979434967041016,,,50,460
4_56_529.cnf.xz,Default,"SATISFIABLE,0",0.02666640281677246,,,56,529
4_65_611.cnf.xz,Default,"SATISFIABLE,0",0.006601095199584961,,,65,611
4_69_645.cnf.xz,Default,"SATISFIABLE,0",0.005561351776123047,,,69,645
4_72_705.cnf.xz,Default,"SATISFIABLE,0",0.09643959999084473,,,72,705
4_76_722.cnf.xz,Default,"SATISFIABLE,0",0.016770601272583008,,,76,722
4_78_768.cnf.xz,Default,"SATISFIABLE,0",0.08841419219970703,,,78,768
4_81_805.cnf.xz,Default,"SATISFIABLE,0",0.11097502708435059,,,81,805
4_91_873.cnf.xz,Default,"SATISFIABLE,0",0.0046443939208984375,,,91,873
4_93_874.cnf.xz,Default,"SATISFIABLE,0",0.10802721977233887,,,93,874
4_95_907.cnf.xz,Default,"SATISFIABLE,0",0.8412837982177734,,,95,907
4_95_921.cnf.xz,Default,"SATISFIABLE,0",0.36667728424072266,,,95,921
4_98_970.cnf.xz,Default,"SATISFIABLE,2",2.056652069091797,,,98,970
5_51_1002.cnf.xz,Default,"SATISFIABLE,0",0.018731355667114258,,,51,1002
5_51_991.cnf.xz,Default,"SATISFIABLE,0",0.009149789810180664,,,51,991
5_53_1075.cnf.xz,Default,"SATISFIABLE,0",0.01253366470336914,,,53,1075
5_53_1091.cnf.xz,Default,"SATISFIABLE,1",0.7537252902984619,,,53,1091
5_54_1071.cnf.xz,Default,"SATISFIABLE,0",0.31914496421813965,,,54,1071
5_54_1123.cnf.xz,Default,"SATISFIABLE,1",0.5732944011688232,,,54,1123
