cnf_name,solver,result,solving_time_sec,inference_time_sec,has_backbone,n_vars,n_clauses
3_105_398.cnf.xz,NeuroBack,"SATISFIABLE,0",0.0018703937530517578,0.0,True,105,398
3_112_419.cnf.xz,NeuroBack,"SATISFIABLE,0",0.0015153884887695312,0.0,True,112,419
3_112_442.cnf.xz,NeuroBack,"SATISFIABLE,0",0.002093076705932617,0.0,True,112,442
3_117_432.cnf.xz,NeuroBack,"SATISFIABLE,0",0.002626657485961914,0.0,True,117,432
3_118_471.cnf.xz,NeuroBack,"SATISFIABLE,0",0.0016560554504394531,0.0,True,118,471
3_120_449.cnf.xz,NeuroBack,"SATISFIABLE,0",0.007018327713012695,0.0,True,120,449
3_120_479.cnf.xz,NeuroBack,"SATISFIABLE,0",0.0022394657135009766,0.0,True,120,479
3_121_483.cnf.xz,NeuroBack,"SATISFIABLE,0",0.005795955657958984,0.0,True,121,483
3_134_535.cnf.xz,NeuroBack,"SATISFIABLE,0",0.008280038833618164,0.0,True,134,535
3_137_561.cnf.xz,NeuroBack,"SATISFIABLE,0",0.008534431457519531,0.0,True,137,561
3_144_590.cnf.xz,NeuroBack,"SATISFIABLE,0",0.014834165573120117,0.0,True,144,590
3_156_670.cnf.xz,NeuroBack,"SATISFIABLE,0",0.0032684803009033203,0.0,True,156,670
3_159_667.cnf.xz,NeuroBack,"SATISFIABLE,0",0.0042569637298583984,0.0,True,159,667
3_165_709.cnf.xz,NeuroBack,"SATISFIABLE,0",0.04186224937438965,0.0,True,165,709
3_170_696.cnf.xz,NeuroBack,"SATISFIABLE,0",0.020636796951293945,0.0,True,170,696
3_173_726.cnf.xz,NeuroBack,"SATISFIABLE,1",0.019637346267700195,0.0,True,173,726
3_175_699.cnf.xz,NeuroBack,"SATISFIABLE,0",0.05936431884765625,0.0,True,175,699
3_178_774.cnf.xz,NeuroBack,"SATISFIABLE,0",0.010940790176391602,0.0,True,178,774
3_193_820.cnf.xz,NeuroBack,"SATISFIABLE,0",0.011779546737670898,0.0,True,193,820
3_206_865.cnf.xz,NeuroBack,"SATISFIABLE,0",0.0698087215423584,0.0,True,206,865
3_224_940.cnf.xz,NeuroBack,"SATISFIABLE,0",0.15333032608032227,0.0,True,224,940
3_232_951.cnf.xz,NeuroBack,"SATISFIABLE,0",0.11076116561889648,0.0,True,232,951
3_243_1044.cnf.xz,NeuroBack,"SATISFIABLE,1",0.2992098331451416,0.0,True,243,1044
3_258_1135.cnf.xz,NeuroBack,"SATISFIABLE,0",0.36919569969177246,0.0,True,258,1135
3_290_1188.cnf.xz,NeuroBack,"SATISFIABLE,0",0.13434600830078125,0.0,True,290,1188
3_296_1302.cnf.xz,NeuroBack,"SATISFIABLE,1",0.8614709377288818,0.0,True,296,1302
3be058c040a7ae8d5648e791025dd792-fla-komb-260-5.cnf.xz,NeuroBack,"SATISFIABLE,0",0.20218396186828613,0.0,True,260,1353
4_101_964.cnf.xz,NeuroBack,"SATISFIABLE,0",0.06071615219116211,0.0,True,101,964
4_103_957.cnf.xz,NeuroBack,"SATISFIABLE,1",0.8999381065368652,0.0,True,103,957
4_106_1012.cnf.xz,NeuroBack,"SATISFIABLE,1",0.7630641460418701,0.0,True,106,1012
4_106_1033.cnf.xz,NeuroBack,"SATISFIABLE,1",0.2860589027404785,0.0,True,106,1033
4_110_1078.cnf.xz,NeuroBack,"SATISFIABLE,0",0.13454914093017578,0.0,True,110,1078
4_119_1148.cnf.xz,NeuroBack,"SATISFIABLE,4",3.34877347946167,0.0,True,119,1148
4_50_460.cnf.xz,NeuroBack,"SATISFIABLE,0",0.014702796936035156,0.0,True,50,460
4_56_529.cnf.xz,NeuroBack,"SATISFIABLE,0",0.007842063903808594,0.0,True,56,529
4_65_611.cnf.xz,NeuroBack,"SATISFIABLE,0",0.018329381942749023,0.0,True,65,611
4_69_645.cnf.xz,NeuroBack,"SATISFIABLE,0",0.042069435119628906,0.0,True,69,645
4_72_705.cnf.xz,NeuroBack,"SATISFIABLE,1",0.1600041389465332,0.0,True,72,705
4_76_722.cnf.xz,NeuroBack,"SATISFIABLE,0",0.038948774337768555,0.0,True,76,722
4_78_768.cnf.xz,NeuroBack,"SATISFIABLE,0",0.043207645416259766,0.0,True,78,768
4_81_805.cnf.xz,NeuroBack,"SATISFIABLE,0",0.02310347557067871,0.0,True,81,805
4_91_873.cnf.xz,NeuroBack,"SATISFIABLE,0",0.0049932003021240234,0.0,True,91,873
4_93_874.cnf.xz,NeuroBack,"SATISFIABLE,1",0.8483383655548096,0.0,True,93,874
4_95_907.cnf.xz,NeuroBack,"SATISFIABLE,1",0.6198265552520752,0.0,True,95,907
4_95_921.cnf.xz,NeuroBack,"SATISFIABLE,0",0.020516395568847656,0.0,True,95,921
4_98_970.cnf.xz,NeuroBack,"SATISFIABLE,2",1.8586385250091553,0.0,True,98,970
5_51_1002.cnf.xz,NeuroBack,"SATISFIABLE,0",0.28919291496276855,0.0,True,51,1002
5_51_991.cnf.xz,NeuroBack,"SATISFIABLE,0",0.011941671371459961,0.0,True,51,991
5_53_1075.cnf.xz,NeuroBack,"SATISFIABLE,0",0.1480872631072998,0.0,True,53,1075
5_53_1091.cnf.xz,NeuroBack,"SATISFIABLE,1",0.47304821014404297,0.0,True,53,1091
5_54_1071.cnf.xz,NeuroBack,"SATISFIABLE,0",0.16003131866455078,0.0,True,54,1071
5_54_1123.cnf.xz,NeuroBack,"SATISFIABLE,0",0.2362823486328125,0.0,True,54,1123
5_57_1157.cnf.xz,NeuroBack,"SATISFIABLE,0",0.0609431266784668,0.0,True,57,1157
5_59_1212.cnf.xz,NeuroBack,"SATISFIABLE,0",0.05719447135925293,0.0,True,59,1212
5_59_1215.cnf.xz,NeuroBack,"SATISFIABLE,1",0.47995996475219727,0.0,True,59,1215
5_62_1292.cnf.xz,NeuroBack,"SATISFIABLE,1",1.1567742824554443,0.0,True,62,1292
5_64_1289.cnf.xz,NeuroBack,"SATISFIABLE,3",3.0810160636901855,0.0,True,64,1289
5_66_1287.cnf.xz,NeuroBack,"SATISFIABLE,1",0.29467034339904785,0.0,True,66,1287
